company_name,sector ,Rating,reviews,Average salary,Number of Interview,Benifited
Straive,IT Services & Consulting,3.3,(2.4k),10.8k,236,127
Apollo Pharmacy,Pharma,3.7,(2.4k),7.3k,208,147
Cybage,IT Services & Consulting,3.7,(2.4k),17.2k,216,275
Capgemini Engineering,IT Services & Consulting,3.3,(2.4k),13.1k,409,144
Axis Direct,Financial Services,3.6,(2.4k),4.6k,90,234
TCE,Engineering & Construction,3.9,(2.4k),10.1k,305,185
Straive,IT Services & Consulting,3.3,(2.4k),10.8k,236,127
Apollo Pharmacy,Pharma,3.7,(2.4k),7.3k,208,147
Cybage,IT Services & Consulting,3.7,(2.4k),17.2k,216,275
Kia India,Automobile,3.9,(2.4k),8.5k,185,176
Capgemini Engineering,IT Services & Consulting,3.3,(2.4k),13.1k,409,144
Axis Direct,Financial Services,3.6,(2.4k),4.6k,90,234
TCE,Engineering & Construction,3.9,(2.4k),10.1k,305,185
Straive,IT Services & Consulting,3.3,(2.4k),10.8k,236,127
Apollo Pharmacy,Pharma,3.7,(2.4k),7.3k,208,147
Cybage,IT Services & Consulting,3.7,(2.4k),17.2k,216,275
Kia India,Automobile,3.9,(2.4k),8.5k,185,176
Sopra Steria,IT Services & Consulting,3.9,(2.4k),14.4k,188,248
Capgemini Engineering,IT Services & Consulting,3.3,(2.4k),13.1k,409,144
Axis Direct,Financial Services,3.6,(2.4k),4.6k,90,234
TCE,Engineering & Construction,3.9,(2.4k),10.1k,305,185
Straive,IT Services & Consulting,3.3,(2.4k),10.8k,236,127
Apollo Pharmacy,Pharma,3.7,(2.4k),7.3k,208,147
Cybage,IT Services & Consulting,3.7,(2.4k),17.2k,216,275
Kia India,Automobile,3.9,(2.4k),8.5k,185,176
Sopra Steria,IT Services & Consulting,3.9,(2.4k),14.4k,188,248
GVK Emergency Management and Research Institute,Non-Profit,3.6,(2.4k),4.8k,122,191
Capgemini Engineering,IT Services & Consulting,3.3,(2.4k),13.1k,409,144
Axis Direct,Financial Services,3.6,(2.4k),4.6k,90,234
TCE,Engineering & Construction,3.9,(2.4k),10.1k,305,185
Straive,IT Services & Consulting,3.3,(2.4k),10.8k,236,127
Apollo Pharmacy,Pharma,3.7,(2.4k),7.3k,208,147
Cybage,IT Services & Consulting,3.7,(2.4k),17.2k,216,275
Kia India,Automobile,3.9,(2.4k),8.5k,185,176
Sopra Steria,IT Services & Consulting,3.9,(2.4k),14.4k,188,248
GVK Emergency Management and Research Institute,Non-Profit,3.6,(2.4k),4.8k,122,191
SBI Securities,Financial Services,3.6,(2.4k),7k,196,120
Capgemini Engineering,IT Services & Consulting,3.3,(2.4k),13.1k,409,144
Axis Direct,Financial Services,3.6,(2.4k),4.6k,90,234
TCE,Engineering & Construction,3.9,(2.4k),10.1k,305,185
Straive,IT Services & Consulting,3.3,(2.4k),10.8k,236,127
Apollo Pharmacy,Pharma,3.7,(2.4k),7.3k,208,147
Cybage,IT Services & Consulting,3.7,(2.4k),17.2k,216,275
Kia India,Automobile,3.9,(2.4k),8.5k,185,176
Sopra Steria,IT Services & Consulting,3.9,(2.4k),14.4k,188,248
GVK Emergency Management and Research Institute,Non-Profit,3.6,(2.4k),4.8k,122,191
SBI Securities,Financial Services,3.6,(2.4k),7k,196,120
Xoriant,IT Services & Consulting,4.0,(2.4k),11.7k,237,416
Capgemini Engineering,IT Services & Consulting,3.3,(2.4k),13.1k,409,144
Axis Direct,Financial Services,3.6,(2.4k),4.6k,90,234
TCE,Engineering & Construction,3.9,(2.4k),10.1k,305,185
Straive,IT Services & Consulting,3.3,(2.4k),10.8k,236,127
Apollo Pharmacy,Pharma,3.7,(2.4k),7.3k,208,147
Cybage,IT Services & Consulting,3.7,(2.4k),17.2k,216,275
Kia India,Automobile,3.9,(2.4k),8.5k,185,176
Sopra Steria,IT Services & Consulting,3.9,(2.4k),14.4k,188,248
GVK Emergency Management and Research Institute,Non-Profit,3.6,(2.4k),4.8k,122,191
SBI Securities,Financial Services,3.6,(2.4k),7k,196,120
Xoriant,IT Services & Consulting,4.0,(2.4k),11.7k,237,416
KocharTech,IT Services & Consulting,3.6,(2.4k),3.8k,83,583
Capgemini Engineering,IT Services & Consulting,3.3,(2.4k),13.1k,409,144
Axis Direct,Financial Services,3.6,(2.4k),4.6k,90,234
TCE,Engineering & Construction,3.9,(2.4k),10.1k,305,185
Straive,IT Services & Consulting,3.3,(2.4k),10.8k,236,127
Apollo Pharmacy,Pharma,3.7,(2.4k),7.3k,208,147
Cybage,IT Services & Consulting,3.7,(2.4k),17.2k,216,275
Kia India,Automobile,3.9,(2.4k),8.5k,185,176
Sopra Steria,IT Services & Consulting,3.9,(2.4k),14.4k,188,248
GVK Emergency Management and Research Institute,Non-Profit,3.6,(2.4k),4.8k,122,191
SBI Securities,Financial Services,3.6,(2.4k),7k,196,120
Xoriant,IT Services & Consulting,4.0,(2.4k),11.7k,237,416
KocharTech,IT Services & Consulting,3.6,(2.4k),3.8k,83,583
Akums Drugs & Pharmaceuticals Limited,Pharma,4.2,(2.4k),6.3k,337,158
Capgemini Engineering,IT Services & Consulting,3.3,(2.4k),13.1k,409,144
Axis Direct,Financial Services,3.6,(2.4k),4.6k,90,234
TCE,Engineering & Construction,3.9,(2.4k),10.1k,305,185
Straive,IT Services & Consulting,3.3,(2.4k),10.8k,236,127
Apollo Pharmacy,Pharma,3.7,(2.4k),7.3k,208,147
Cybage,IT Services & Consulting,3.7,(2.4k),17.2k,216,275
Kia India,Automobile,3.9,(2.4k),8.5k,185,176
Sopra Steria,IT Services & Consulting,3.9,(2.4k),14.4k,188,248
GVK Emergency Management and Research Institute,Non-Profit,3.6,(2.4k),4.8k,122,191
SBI Securities,Financial Services,3.6,(2.4k),7k,196,120
Xoriant,IT Services & Consulting,4.0,(2.4k),11.7k,237,416
KocharTech,IT Services & Consulting,3.6,(2.4k),3.8k,83,583
Akums Drugs & Pharmaceuticals Limited,Pharma,4.2,(2.4k),6.3k,337,158
Sobha,Real Estate,3.8,(2.3k),8.6k,168,238
Capgemini Engineering,IT Services & Consulting,3.3,(2.4k),13.1k,409,144
Axis Direct,Financial Services,3.6,(2.4k),4.6k,90,234
TCE,Engineering & Construction,3.9,(2.4k),10.1k,305,185
Straive,IT Services & Consulting,3.3,(2.4k),10.8k,236,127
Apollo Pharmacy,Pharma,3.7,(2.4k),7.3k,208,147
Cybage,IT Services & Consulting,3.7,(2.4k),17.2k,216,275
Kia India,Automobile,3.9,(2.4k),8.5k,185,176
Sopra Steria,IT Services & Consulting,3.9,(2.4k),14.4k,188,248
GVK Emergency Management and Research Institute,Non-Profit,3.6,(2.4k),4.8k,122,191
SBI Securities,Financial Services,3.6,(2.4k),7k,196,120
Xoriant,IT Services & Consulting,4.0,(2.4k),11.7k,237,416
KocharTech,IT Services & Consulting,3.6,(2.4k),3.8k,83,583
Akums Drugs & Pharmaceuticals Limited,Pharma,4.2,(2.4k),6.3k,337,158
Sobha,Real Estate,3.8,(2.3k),8.6k,168,238
Star Union Dai-ichi Life Insurance,Insurance,3.8,(2.3k),5.5k,145,107
Capgemini Engineering,IT Services & Consulting,3.3,(2.4k),13.1k,409,144
Axis Direct,Financial Services,3.6,(2.4k),4.6k,90,234
TCE,Engineering & Construction,3.9,(2.4k),10.1k,305,185
Straive,IT Services & Consulting,3.3,(2.4k),10.8k,236,127
Apollo Pharmacy,Pharma,3.7,(2.4k),7.3k,208,147
Cybage,IT Services & Consulting,3.7,(2.4k),17.2k,216,275
Kia India,Automobile,3.9,(2.4k),8.5k,185,176
Sopra Steria,IT Services & Consulting,3.9,(2.4k),14.4k,188,248
GVK Emergency Management and Research Institute,Non-Profit,3.6,(2.4k),4.8k,122,191
SBI Securities,Financial Services,3.6,(2.4k),7k,196,120
Xoriant,IT Services & Consulting,4.0,(2.4k),11.7k,237,416
KocharTech,IT Services & Consulting,3.6,(2.4k),3.8k,83,583
Akums Drugs & Pharmaceuticals Limited,Pharma,4.2,(2.4k),6.3k,337,158
Sobha,Real Estate,3.8,(2.3k),8.6k,168,238
Star Union Dai-ichi Life Insurance,Insurance,3.8,(2.3k),5.5k,145,107
Endurance Technologies Limited,Auto Components,3.9,(2.3k),8k,148,252
Capgemini Engineering,IT Services & Consulting,3.3,(2.4k),13.1k,409,144
Axis Direct,Financial Services,3.6,(2.4k),4.6k,90,234
TCE,Engineering & Construction,3.9,(2.4k),10.1k,305,185
Straive,IT Services & Consulting,3.3,(2.4k),10.8k,236,127
Apollo Pharmacy,Pharma,3.7,(2.4k),7.3k,208,147
Cybage,IT Services & Consulting,3.7,(2.4k),17.2k,216,275
Kia India,Automobile,3.9,(2.4k),8.5k,185,176
Sopra Steria,IT Services & Consulting,3.9,(2.4k),14.4k,188,248
GVK Emergency Management and Research Institute,Non-Profit,3.6,(2.4k),4.8k,122,191
SBI Securities,Financial Services,3.6,(2.4k),7k,196,120
Xoriant,IT Services & Consulting,4.0,(2.4k),11.7k,237,416
KocharTech,IT Services & Consulting,3.6,(2.4k),3.8k,83,583
Akums Drugs & Pharmaceuticals Limited,Pharma,4.2,(2.4k),6.3k,337,158
Sobha,Real Estate,3.8,(2.3k),8.6k,168,238
Star Union Dai-ichi Life Insurance,Insurance,3.8,(2.3k),5.5k,145,107
Endurance Technologies Limited,Auto Components,3.9,(2.3k),8k,148,252
BNP Paribas,Banking,3.7,(2.3k),19.5k,224,188
Capgemini Engineering,IT Services & Consulting,3.3,(2.4k),13.1k,409,144
Axis Direct,Financial Services,3.6,(2.4k),4.6k,90,234
TCE,Engineering & Construction,3.9,(2.4k),10.1k,305,185
Straive,IT Services & Consulting,3.3,(2.4k),10.8k,236,127
Apollo Pharmacy,Pharma,3.7,(2.4k),7.3k,208,147
Cybage,IT Services & Consulting,3.7,(2.4k),17.2k,216,275
Kia India,Automobile,3.9,(2.4k),8.5k,185,176
Sopra Steria,IT Services & Consulting,3.9,(2.4k),14.4k,188,248
GVK Emergency Management and Research Institute,Non-Profit,3.6,(2.4k),4.8k,122,191
SBI Securities,Financial Services,3.6,(2.4k),7k,196,120
Xoriant,IT Services & Consulting,4.0,(2.4k),11.7k,237,416
KocharTech,IT Services & Consulting,3.6,(2.4k),3.8k,83,583
Akums Drugs & Pharmaceuticals Limited,Pharma,4.2,(2.4k),6.3k,337,158
Sobha,Real Estate,3.8,(2.3k),8.6k,168,238
Star Union Dai-ichi Life Insurance,Insurance,3.8,(2.3k),5.5k,145,107
Endurance Technologies Limited,Auto Components,3.9,(2.3k),8k,148,252
BNP Paribas,Banking,3.7,(2.3k),19.5k,224,188
Bharat Petroleum,Oil & Gas,4.2,(2.3k),7.5k,192,199
Capgemini Engineering,IT Services & Consulting,3.3,(2.4k),13.1k,409,144
Axis Direct,Financial Services,3.6,(2.4k),4.6k,90,234
TCE,Engineering & Construction,3.9,(2.4k),10.1k,305,185
Straive,IT Services & Consulting,3.3,(2.4k),10.8k,236,127
Apollo Pharmacy,Pharma,3.7,(2.4k),7.3k,208,147
Cybage,IT Services & Consulting,3.7,(2.4k),17.2k,216,275
Kia India,Automobile,3.9,(2.4k),8.5k,185,176
Sopra Steria,IT Services & Consulting,3.9,(2.4k),14.4k,188,248
GVK Emergency Management and Research Institute,Non-Profit,3.6,(2.4k),4.8k,122,191
SBI Securities,Financial Services,3.6,(2.4k),7k,196,120
Xoriant,IT Services & Consulting,4.0,(2.4k),11.7k,237,416
KocharTech,IT Services & Consulting,3.6,(2.4k),3.8k,83,583
Akums Drugs & Pharmaceuticals Limited,Pharma,4.2,(2.4k),6.3k,337,158
Sobha,Real Estate,3.8,(2.3k),8.6k,168,238
Star Union Dai-ichi Life Insurance,Insurance,3.8,(2.3k),5.5k,145,107
Endurance Technologies Limited,Auto Components,3.9,(2.3k),8k,148,252
BNP Paribas,Banking,3.7,(2.3k),19.5k,224,188
Bharat Petroleum,Oil & Gas,4.2,(2.3k),7.5k,192,199
Daikin Airconditioning India Pvt. Ltd.,Consumer Electronics & Appliances,4.2,(2.3k),8.1k,220,162
Capgemini Engineering,IT Services & Consulting,3.3,(2.4k),13.1k,409,144
Axis Direct,Financial Services,3.6,(2.4k),4.6k,90,234
TCE,Engineering & Construction,3.9,(2.4k),10.1k,305,185
Straive,IT Services & Consulting,3.3,(2.4k),10.8k,236,127
Apollo Pharmacy,Pharma,3.7,(2.4k),7.3k,208,147
Cybage,IT Services & Consulting,3.7,(2.4k),17.2k,216,275
Kia India,Automobile,3.9,(2.4k),8.5k,185,176
Sopra Steria,IT Services & Consulting,3.9,(2.4k),14.4k,188,248
GVK Emergency Management and Research Institute,Non-Profit,3.6,(2.4k),4.8k,122,191
SBI Securities,Financial Services,3.6,(2.4k),7k,196,120
Xoriant,IT Services & Consulting,4.0,(2.4k),11.7k,237,416
KocharTech,IT Services & Consulting,3.6,(2.4k),3.8k,83,583
Akums Drugs & Pharmaceuticals Limited,Pharma,4.2,(2.4k),6.3k,337,158
Sobha,Real Estate,3.8,(2.3k),8.6k,168,238
Star Union Dai-ichi Life Insurance,Insurance,3.8,(2.3k),5.5k,145,107
Endurance Technologies Limited,Auto Components,3.9,(2.3k),8k,148,252
BNP Paribas,Banking,3.7,(2.3k),19.5k,224,188
Bharat Petroleum,Oil & Gas,4.2,(2.3k),7.5k,192,199
Daikin Airconditioning India Pvt. Ltd.,Consumer Electronics & Appliances,4.2,(2.3k),8.1k,220,162
Eureka Forbes,Consumer Electronics & Appliances,3.6,(2.3k),5.7k,95,240
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
Lifestyle,Retail,4.2,(2.3k),6.6k,89,286
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
Lifestyle,Retail,4.2,(2.3k),6.6k,89,286
Myntra,Internet,3.8,(2.3k),10.9k,383,324
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
Lifestyle,Retail,4.2,(2.3k),6.6k,89,286
Myntra,Internet,3.8,(2.3k),10.9k,383,324
Radisson Hotels,Hospitality,4.0,(2.3k),5.3k,110,319
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
Lifestyle,Retail,4.2,(2.3k),6.6k,89,286
Myntra,Internet,3.8,(2.3k),10.9k,383,324
Radisson Hotels,Hospitality,4.0,(2.3k),5.3k,110,319
AWL Agri Business,FMCG,4.1,(2.3k),7k,146,191
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
Lifestyle,Retail,4.2,(2.3k),6.6k,89,286
Myntra,Internet,3.8,(2.3k),10.9k,383,324
Radisson Hotels,Hospitality,4.0,(2.3k),5.3k,110,319
AWL Agri Business,FMCG,4.1,(2.3k),7k,146,191
SBI General Insurance,Insurance,3.5,(2.3k),7k,137,140
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
Lifestyle,Retail,4.2,(2.3k),6.6k,89,286
Myntra,Internet,3.8,(2.3k),10.9k,383,324
Radisson Hotels,Hospitality,4.0,(2.3k),5.3k,110,319
AWL Agri Business,FMCG,4.1,(2.3k),7k,146,191
SBI General Insurance,Insurance,3.5,(2.3k),7k,137,140
Bharti AXA Life Insurance,Insurance,3.6,(2.3k),5.3k,156,180
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
Lifestyle,Retail,4.2,(2.3k),6.6k,89,286
Myntra,Internet,3.8,(2.3k),10.9k,383,324
Radisson Hotels,Hospitality,4.0,(2.3k),5.3k,110,319
AWL Agri Business,FMCG,4.1,(2.3k),7k,146,191
SBI General Insurance,Insurance,3.5,(2.3k),7k,137,140
Bharti AXA Life Insurance,Insurance,3.6,(2.3k),5.3k,156,180
Unacademy,EdTech,3.0,(2.3k),10.3k,242,161
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
Lifestyle,Retail,4.2,(2.3k),6.6k,89,286
Myntra,Internet,3.8,(2.3k),10.9k,383,324
Radisson Hotels,Hospitality,4.0,(2.3k),5.3k,110,319
AWL Agri Business,FMCG,4.1,(2.3k),7k,146,191
SBI General Insurance,Insurance,3.5,(2.3k),7k,137,140
Bharti AXA Life Insurance,Insurance,3.6,(2.3k),5.3k,156,180
Unacademy,EdTech,3.0,(2.3k),10.3k,242,161
Cisco,Hardware & Networking,4.1,(2.3k),19.5k,425,231
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
Lifestyle,Retail,4.2,(2.3k),6.6k,89,286
Myntra,Internet,3.8,(2.3k),10.9k,383,324
Radisson Hotels,Hospitality,4.0,(2.3k),5.3k,110,319
AWL Agri Business,FMCG,4.1,(2.3k),7k,146,191
SBI General Insurance,Insurance,3.5,(2.3k),7k,137,140
Bharti AXA Life Insurance,Insurance,3.6,(2.3k),5.3k,156,180
Unacademy,EdTech,3.0,(2.3k),10.3k,242,161
Cisco,Hardware & Networking,4.1,(2.3k),19.5k,425,231
Renault Nissan Technology & Business Centre India,Automobile,3.6,(2.3k),15.4k,158,216
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
Lifestyle,Retail,4.2,(2.3k),6.6k,89,286
Myntra,Internet,3.8,(2.3k),10.9k,383,324
Radisson Hotels,Hospitality,4.0,(2.3k),5.3k,110,319
AWL Agri Business,FMCG,4.1,(2.3k),7k,146,191
SBI General Insurance,Insurance,3.5,(2.3k),7k,137,140
Bharti AXA Life Insurance,Insurance,3.6,(2.3k),5.3k,156,180
Unacademy,EdTech,3.0,(2.3k),10.3k,242,161
Cisco,Hardware & Networking,4.1,(2.3k),19.5k,425,231
Renault Nissan Technology & Business Centre India,Automobile,3.6,(2.3k),15.4k,158,216
Meesho,Internet,3.7,(2.3k),10.1k,455,317
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
Lifestyle,Retail,4.2,(2.3k),6.6k,89,286
Myntra,Internet,3.8,(2.3k),10.9k,383,324
Radisson Hotels,Hospitality,4.0,(2.3k),5.3k,110,319
AWL Agri Business,FMCG,4.1,(2.3k),7k,146,191
SBI General Insurance,Insurance,3.5,(2.3k),7k,137,140
Bharti AXA Life Insurance,Insurance,3.6,(2.3k),5.3k,156,180
Unacademy,EdTech,3.0,(2.3k),10.3k,242,161
Cisco,Hardware & Networking,4.1,(2.3k),19.5k,425,231
Renault Nissan Technology & Business Centre India,Automobile,3.6,(2.3k),15.4k,158,216
Meesho,Internet,3.7,(2.3k),10.1k,455,317
Coromandel International,Agro Chemicals,4.1,(2.3k),7.9k,131,222
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
Lifestyle,Retail,4.2,(2.3k),6.6k,89,286
Myntra,Internet,3.8,(2.3k),10.9k,383,324
Radisson Hotels,Hospitality,4.0,(2.3k),5.3k,110,319
AWL Agri Business,FMCG,4.1,(2.3k),7k,146,191
SBI General Insurance,Insurance,3.5,(2.3k),7k,137,140
Bharti AXA Life Insurance,Insurance,3.6,(2.3k),5.3k,156,180
Unacademy,EdTech,3.0,(2.3k),10.3k,242,161
Cisco,Hardware & Networking,4.1,(2.3k),19.5k,425,231
Renault Nissan Technology & Business Centre India,Automobile,3.6,(2.3k),15.4k,158,216
Meesho,Internet,3.7,(2.3k),10.1k,455,317
Coromandel International,Agro Chemicals,4.1,(2.3k),7.9k,131,222
Sify Technologies,IT Services & Consulting,3.6,(2.2k),10.2k,151,164
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
Lifestyle,Retail,4.2,(2.3k),6.6k,89,286
Myntra,Internet,3.8,(2.3k),10.9k,383,324
Radisson Hotels,Hospitality,4.0,(2.3k),5.3k,110,319
AWL Agri Business,FMCG,4.1,(2.3k),7k,146,191
SBI General Insurance,Insurance,3.5,(2.3k),7k,137,140
Bharti AXA Life Insurance,Insurance,3.6,(2.3k),5.3k,156,180
Unacademy,EdTech,3.0,(2.3k),10.3k,242,161
Cisco,Hardware & Networking,4.1,(2.3k),19.5k,425,231
Renault Nissan Technology & Business Centre India,Automobile,3.6,(2.3k),15.4k,158,216
Meesho,Internet,3.7,(2.3k),10.1k,455,317
Coromandel International,Agro Chemicals,4.1,(2.3k),7.9k,131,222
Sify Technologies,IT Services & Consulting,3.6,(2.2k),10.2k,151,164
ValueLabs,IT Services & Consulting,3.4,(2.2k),16.6k,221,273
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
Lifestyle,Retail,4.2,(2.3k),6.6k,89,286
Myntra,Internet,3.8,(2.3k),10.9k,383,324
Radisson Hotels,Hospitality,4.0,(2.3k),5.3k,110,319
AWL Agri Business,FMCG,4.1,(2.3k),7k,146,191
SBI General Insurance,Insurance,3.5,(2.3k),7k,137,140
Bharti AXA Life Insurance,Insurance,3.6,(2.3k),5.3k,156,180
Unacademy,EdTech,3.0,(2.3k),10.3k,242,161
Cisco,Hardware & Networking,4.1,(2.3k),19.5k,425,231
Renault Nissan Technology & Business Centre India,Automobile,3.6,(2.3k),15.4k,158,216
Meesho,Internet,3.7,(2.3k),10.1k,455,317
Coromandel International,Agro Chemicals,4.1,(2.3k),7.9k,131,222
Sify Technologies,IT Services & Consulting,3.6,(2.2k),10.2k,151,164
ValueLabs,IT Services & Consulting,3.4,(2.2k),16.6k,221,273
Indian Railways,Railways,4.2,(2.2k),3.6k,116,167
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
Lifestyle,Retail,4.2,(2.3k),6.6k,89,286
Myntra,Internet,3.8,(2.3k),10.9k,383,324
Radisson Hotels,Hospitality,4.0,(2.3k),5.3k,110,319
AWL Agri Business,FMCG,4.1,(2.3k),7k,146,191
SBI General Insurance,Insurance,3.5,(2.3k),7k,137,140
Bharti AXA Life Insurance,Insurance,3.6,(2.3k),5.3k,156,180
Unacademy,EdTech,3.0,(2.3k),10.3k,242,161
Cisco,Hardware & Networking,4.1,(2.3k),19.5k,425,231
Renault Nissan Technology & Business Centre India,Automobile,3.6,(2.3k),15.4k,158,216
Meesho,Internet,3.7,(2.3k),10.1k,455,317
Coromandel International,Agro Chemicals,4.1,(2.3k),7.9k,131,222
Sify Technologies,IT Services & Consulting,3.6,(2.2k),10.2k,151,164
ValueLabs,IT Services & Consulting,3.4,(2.2k),16.6k,221,273
Indian Railways,Railways,4.2,(2.2k),3.6k,116,167
Lava International,Consumer Electronics & Appliances,3.9,(2.2k),4.4k,95,312
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
Lifestyle,Retail,4.2,(2.3k),6.6k,89,286
Myntra,Internet,3.8,(2.3k),10.9k,383,324
Radisson Hotels,Hospitality,4.0,(2.3k),5.3k,110,319
AWL Agri Business,FMCG,4.1,(2.3k),7k,146,191
SBI General Insurance,Insurance,3.5,(2.3k),7k,137,140
Bharti AXA Life Insurance,Insurance,3.6,(2.3k),5.3k,156,180
Unacademy,EdTech,3.0,(2.3k),10.3k,242,161
Cisco,Hardware & Networking,4.1,(2.3k),19.5k,425,231
Renault Nissan Technology & Business Centre India,Automobile,3.6,(2.3k),15.4k,158,216
Meesho,Internet,3.7,(2.3k),10.1k,455,317
Coromandel International,Agro Chemicals,4.1,(2.3k),7.9k,131,222
Sify Technologies,IT Services & Consulting,3.6,(2.2k),10.2k,151,164
ValueLabs,IT Services & Consulting,3.4,(2.2k),16.6k,221,273
Indian Railways,Railways,4.2,(2.2k),3.6k,116,167
Lava International,Consumer Electronics & Appliances,3.9,(2.2k),4.4k,95,312
Henry Harvin Education,EdTech,4.0,(2.2k),989,138,76
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
Lifestyle,Retail,4.2,(2.3k),6.6k,89,286
Myntra,Internet,3.8,(2.3k),10.9k,383,324
Radisson Hotels,Hospitality,4.0,(2.3k),5.3k,110,319
AWL Agri Business,FMCG,4.1,(2.3k),7k,146,191
SBI General Insurance,Insurance,3.5,(2.3k),7k,137,140
Bharti AXA Life Insurance,Insurance,3.6,(2.3k),5.3k,156,180
Unacademy,EdTech,3.0,(2.3k),10.3k,242,161
Cisco,Hardware & Networking,4.1,(2.3k),19.5k,425,231
Renault Nissan Technology & Business Centre India,Automobile,3.6,(2.3k),15.4k,158,216
Meesho,Internet,3.7,(2.3k),10.1k,455,317
Coromandel International,Agro Chemicals,4.1,(2.3k),7.9k,131,222
Sify Technologies,IT Services & Consulting,3.6,(2.2k),10.2k,151,164
ValueLabs,IT Services & Consulting,3.4,(2.2k),16.6k,221,273
Indian Railways,Railways,4.2,(2.2k),3.6k,116,167
Lava International,Consumer Electronics & Appliances,3.9,(2.2k),4.4k,95,312
Henry Harvin Education,EdTech,4.0,(2.2k),989,138,76
Whirlpool,Consumer Electronics & Appliances,4.0,(2.2k),8k,122,209
JK Tyre,Auto Components,3.9,(2.3k),7.1k,221,271
Panasonic Life Solutions India,Consumer Electronics & Appliances,4.0,(2.3k),7.3k,100,121
Lifestyle,Retail,4.2,(2.3k),6.6k,89,286
Myntra,Internet,3.8,(2.3k),10.9k,383,324
Radisson Hotels,Hospitality,4.0,(2.3k),5.3k,110,319
AWL Agri Business,FMCG,4.1,(2.3k),7k,146,191
SBI General Insurance,Insurance,3.5,(2.3k),7k,137,140
Bharti AXA Life Insurance,Insurance,3.6,(2.3k),5.3k,156,180
Unacademy,EdTech,3.0,(2.3k),10.3k,242,161
Cisco,Hardware & Networking,4.1,(2.3k),19.5k,425,231
Renault Nissan Technology & Business Centre India,Automobile,3.6,(2.3k),15.4k,158,216
Meesho,Internet,3.7,(2.3k),10.1k,455,317
Coromandel International,Agro Chemicals,4.1,(2.3k),7.9k,131,222
Sify Technologies,IT Services & Consulting,3.6,(2.2k),10.2k,151,164
ValueLabs,IT Services & Consulting,3.4,(2.2k),16.6k,221,273
Indian Railways,Railways,4.2,(2.2k),3.6k,116,167
Lava International,Consumer Electronics & Appliances,3.9,(2.2k),4.4k,95,312
Henry Harvin Education,EdTech,4.0,(2.2k),989,138,76
Whirlpool,Consumer Electronics & Appliances,4.0,(2.2k),8k,122,209
Shahi Exports,Fashion & Textile,3.9,(2.2k),6.9k,128,236
Allstate,Insurance,3.7,(2.2k),12.1k,158,192
Allstate,Insurance,3.7,(2.2k),12.1k,158,192
Bank of Baroda,Banking,3.6,(2.2k),7.1k,128,161
